Unnamed: 0,follower,visited
470,d.hack6,Private
471,gabilimaa_a,True
472,vitcecim,True
473,rebecca_ossovski,Private
474,josiele.rios.7,Private
475,gabrielaa_grigoleetti,Private
476,caroll.arce,Private
477,paulo_bettio,Invalid
478,20_kaih,Private
479,mouraeduardo,Invalid
480,quemassamassa,Invalid
481,gtoledods,Private
482,sheylla___ramos,Private
483,ludd_milla,Private
484,_bgsm4t,True
485,euasininho,True
486,almirroger4_,Private
487,_vini_andre_,Invalid
488,ju_nikolofski,Private
489,matteopaparella._,True
490,eliaspenteado,True
491,bruno.skttt,True
492,anaclarafreitas__,True
493,sindiaballen,Private
494,nicolly_s,Private
495,lapocagroup,True
496,anita_valente05,True
497,gaabrielfraga,Private
498,mi.ra.gem,Invalid
499,manustanula,Private
500,esmael_pinto,True
501,nicolly.pilato,Private
502,noeliosinski,Private
503,ju_kebox,Invalid
504,arthur_gsb,Private
505,luaa_lemes,True
506,sara.mcris,True
507,paquique_,Private
508,flavianax_,Private
509,gabrielaggw,Private
510,tati_1301,True
511,andreiamedeiros70,Private
512,dani.filipov,Private
513,fabiola.teodoro.7,Private
514,patrickxpq,Private
515,mari.rosseto.33,Private
516,lari_piment,True
517,alinemachadodealmeida,Private
518,lucas_pit14,Private
519,lucianobarao,True
520,im.joaoarthur,True
521,thalitawestphal,Private
522,giselepplopes,True
523,flaviazag_,Private
524,marinagulczynski,Private
525,noellineves,Private
526,vanessawosiak,Private
527,karenmiike,Private
528,pami_ick,Private
529,gabrielafrrr,True
530,v0idness_,True
531,marcia.cavazzani,Private
532,garciaa_tata,True
533,gabrielsn_11,True
534,navarete_p,Private
535,99filipe99,True
536,gustavooo_teixeira,Invalid
537,dudalinharesmello,True
538,maluzi.ta,True
539,edusnash,Private
540,lmoriggi_,True
541,guinewton01,True
542,tiagopco,Private
543,_alikreniski_croche,True
544,chrystianvferraz,True
545,ni_gamas,True
546,gabimrn,Private
547,lucafecaneta,Private
548,_joao_garcez,Invalid
549,drunklisa,True
550,patrickszast,True
551,marciakravetzandrade,Private
552,luciana.grings,True
553,fabriguilherme,True
554,livia_miopia,Invalid
555,gu.marconn,True
556,alinebandeiragermano,True
557,leticia_calixto0_,True
558,rejane.dubowskifranca,True
559,mariactodt,Private
560,isabela.costa_,Private
561,amaralagria,Private
562,eng.patyramos_,Invalid
563,luabatistab,Private
564,rogalmeida01,True
565,heloisacs18,True
566,eduardocpp,Invalid
567,frr_z,True
568,lucinete.sousa.14,True
569,emillymarthins_,True
570,camily_cl,True
571,anacarolina_cwb,Private
572,y.tacha.holikx,Deleted
573,deisygysi,True
574,_ssamuss_,True
575,dani.novak2014,True
576,ka_karina.pimentel,Private
577,promo_shoes19,True
578,kauffinho,Private
579,ana.voronovicz,Private
580,pedrimmlk,True
581,juliaamosele,Private
582,gizarpelon_,Private
583,marllon.oliveira0,True
584,leomazon_,True
585,aldriabelini,True
586,fellypevargas,Private
587,thaifujitani,Private
588,mateushelanski,Private
589,luh_maedepet,True
590,inpar.lr,True
591,somentebiblio,Invalid
592,superesqui12,Private
593,rafael.santoscp,Private
594,elis_rns7,Private
595,nicollesoto,Private
596,bloxberg_assn,True
597,souvenirojos,Private
598,anelize_camargo,Invalid
599,lost_monkey1,Private
600,bibslandia,Private
601,oh_vinix,True
602,izafraiz,Private
603,arthurmistura,Private
604,alessandrowaclawovsky,Private
605,diogo_e_paz,Private
606,allanys_vms,Private
607,doug_and_art,True
608,kamilyxavier_,True
609,jjoaovitor_s,True
610,krizzfranco,Private
611,steamorimv_,Private
612,pam.borges02,Private
613,lemosaimon,True
614,renato.fjr,True
615,jaquemagon,True
616,bortoletto.exe,True
617,vi.tulio,Private
618,lui_hum_qui_ard,Private
619,caalexfiori,True
620,joycenascimentoa,Private
621,elizabethpaulonarciso,Private
622,carla_burzynski,False
623,jeangms_,False
624,beatrizda193,Private
625,rebhca,Invalid
626,maahh2077,Private
627,hellen__santiago,False
628,marsel.renan,Private
629,anderandeer,Private
630,edinaldox.oficial,False
631,paixaodesouza,Private
632,thaysfernandes__,False
633,victor_brito05,False
634,psirenataborbapires,False
635,educl.s,False
636,fatimatavares136,False
637,laisrosadasilva,Private
638,pauloapelles,False
639,elismedeiros,Private
640,alone_americas,False
641,venommoon_n,Invalid
642,joao.sarot,False
643,euaaaliny,Deleted
644,alvescoelhofabiana,Private
645,rikeew__,False
646,pedro_moraesr,False
647,an_mg4,Private
648,_mateus.semh,Private
649,isabela_bellab,Private
650,rodrigosantosjd,Private
651,cassiaschuck,Private
652,marlicaetanodossantos,Private
653,pauli_nha1515,True
654,diego.tsutsumi,False
655,juceliaalves.pereira,Private
656,desativ4d011x,Private
657,nickcout04,False
658,luiz_sene007,Private
659,porai_29,Private
660,lizzie_bu,False
661,vyn.wg,Private
662,gabibaldon,True
663,_momo_sama,False
664,johnnyhallen,Private
665,terresmarco,Invalid
666,marina_venturin,Private
667,dudaajsousa,True
668,jacksonc.souza,Private
669,silvaasqz,Private
670,drapatricia.dh,False
671,shytaraleocadio,Invalid
672,thiagoalves.barber,False
673,joy.ellen,Private
674,war.arq,True
675,rosalvopaesbarreto,Private
676,marcos.oliveira_36,Private
677,_beasantosp,False
678,ken.maia,Private
679,rose_jaros,Private
680,santos_xhin,False
681,carlos_dpk,Private
682,_sandydesouza,False
683,sarahmitt,Private
684,matheus_nuketow,Private
685,marcia_zielinski,True
686,silvana_toneti,True
687,taiih_arruda,Private
688,vitor.colatusso,True
689,ro_libel,True
690,_leandroalmeida,Private
691,marceloribeiro0303,True
692,antoniogubert,Private
693,poxavidathaina,True
694,renato__sd,True
695,zilligislaine,True
696,makotossk_,True
697,joaoraffs,Private
698,giovanni.srz,False
699,sandro_duarte71,False
700,leticiarocha733,Private
701,_biesek_,Private
702,gabilacerda_10,Private
703,fabiana_henrique_cruz,True
704,_flamiranda,True
705,tatamotizuki,Invalid
706,gabrielluzzic,Private
707,julianodsp,Private
708,_yasss.xz,Private
709,1970_rocha3,Private
710,camii_d.c,True
711,ltctm0,True
712,gleisiellesantos,Invalid
713,otavio.alves04,Private
714,gustavo.derick.779,Private
715,karimemassignangrassi,True
716,caiojuliomt,Private
717,julio_dagaita,True
718,alinho.ideias,Deleted
719,andressamoneta,True
720,oioiac_,True
721,deboraperespsicopeoficial,True
722,sarinhamenon,Private
723,iavorskiclaudio,Private
724,gaby_martins_c,Private
725,leticinhast,Private
726,hurielalmeidas,True
727,kellyta_viana,Private
728,hsoarezz,True
729,pv_da_oliver,Private
730,thadeumiqueletto,Private
731,cynthia_pe0000.0,Private
732,colegiomorelli,True
733,gusth_mendes,Private
734,taniasalesribeiro,True
735,ana_paularosa1,Private
736,vinimattos90,Private
737,academicos_luminus,False
738,gabigarciadi,Private
739,manoeledit,Private
740,evelinecwb,Private
741,brunopprado,False
742,lucianoo_frg,False
743,guisouza_sdm,True
744,cesarinoalencar,True
745,ampliandohorizontescwb,True
746,ricardo.tadao,Private
747,vini.franca7,Private
748,edilson3593,True
749,xue_ppgte,True
750,summit_wickedbotz,False
751,ketyriba,False
752,neyllon,False
753,wagner.roodrigues,Private
754,robertaryos,False
755,cogumeliasn,Private
756,aryanecastilho,Private
757,solaris_._,True
758,frannyh27,Private
759,beatriz_.damasceno._,True
760,everto_moraes,Invalid
761,mavigillio,Private
762,willian_mikhael,Private
763,ariel_sam,Private
764,vepoo,True
765,danilo_jennrich,False
766,thebadumps,Private
767,andsilva515,Private
768,zelipka,False
769,biaa.santooos_,Private
770,somosmaiscau,Invalid
771,palco.felix,Invalid
772,rolosotei,False
773,labassan,Private
774,_cecilialexinoski,True
775,julibatista_bio,Private
776,joseph_lemosj,True
777,fabrasil_jami,True
778,jhony_minetto,Private
779,moacirboitoramkrapes,True
780,matheus.m.schmidt,True
781,caioleitum,False
782,tonybrito_,Private
783,igorbuiarr,False
784,annaamartins_,Private
785,hmbrocolis,Deleted
786,cadu_727,Private
787,paulinha_az,False
788,niniryi,Deleted
789,aangelinacoutinho,False
790,angcastro2429,Private
791,katia_figueiredo,Private
792,dougie.jp,Private
793,soniaxavier.psicopedagoga,Invalid
794,leopoldoo21,Private
795,ta.talyssa,Private
796,lugiulianno,Private
797,mainara.barbosa.3,Private
798,cesinha_vial,True
799,intrigx,Private
800,alecamilasr,Private
801,carlamatos926,False
802,emanoelli.manu,Private
803,mim__vieira,Private
804,elainegarciacortez,False
805,kari_karas,False
806,maripcheco,Private
807,maarianardg,Invalid
808,mvandre88,Private
809,cernn_utfpr,True
810,nandim.pls73,True
811,_danielbaracho,Private
812,marcoslgki,Private
813,spacegirl.png,Invalid
814,schlischting,Private
815,mari_s_n_,True
816,paulinha.nuri,Private
817,povclaris,Private
818,uidigai.becker,True
819,edmaraujos,Private
820,larissaacamily,Private
821,merillycristina,Invalid
822,paula08092002,Private
823,thiaggo.reis_,Private
824,ortizgustas,Private
825,michaelcruzfreitas,Private
826,evertondiretor,Invalid
827,rafabarwinski,Private
828,washingtongualdezi,True
829,gabi.victoriaa,Private
830,mentefrugal,True
831,nicolasklayn,Private
832,carolinareichwaldt,Private
833,ddevecchidesign,True
834,h_douglas,Invalid
835,marco.a.busetti,Private
836,studies__vestibular,Private
837,pct.utfpr.ct,True
838,resumos.p.vestiba,True
839,l_timoteoo,Private
840,flowerlittera,Private
841,vhe_s,Private
842,marcio.vini.mugetsu,Private
843,kaique_pav,True
844,norylore,Private
845,luaslef,Private
846,emerson_kojima,True
847,_fellipw,Private
848,daniprofadv,Private
849,o_apataka,True
850,elainecrisbal,Private
851,rebekaasilva_,Private
852,sollcarvreis,Private
853,mariana_milet,Private
854,franciellecom2ls,True
855,_sampaioje,Private
856,thaistupenda_,True
857,stabileizabel,Private
858,by.camilafernanda,True
859,f.laviamarodin,Private
860,f4bio_g4briel,True
861,vizzottera,True
862,priscilamurr,True
863,augusto_426,True
864,mtorrezan28,Private
865,andre_angonese,True
866,ivanawmoreira,Private
867,feliipesteffens,True
868,rafael.r.metzger,False
869,_oi_nath_,Private
870,joelma_joslin,Private
871,jaquesilinske,Private
872,helotoledo_,Private
873,llxmand,Private
874,ana_paula_christakis,Private
875,disney.noel,Private
876,rafa_el_barros_,Private
877,mxcielpedro,True
878,jeeffersonnunes,True
879,lucasnishida1,Deleted
880,edilbertocordeiro,Private
881,mandi.pesch,Private
882,deboratazinasso,False
883,vallyoficial,Private
884,anazanatta_13,False
885,sandrariceto_,False
886,serathiuk,False
887,ciencia_brasil,Invalid
888,rafaelefrem,Private
889,gusso.angelo,Private
890,jovem_libelula,Private
891,felipe_dsa_,True
892,manuutorino,Private
893,mpaiva76,Private
894,rafacs_barreto,Private
895,biancaadrianii,Private
896,vinie.e,True
897,leandrojosedos.santos,Private
898,mulheresnasciencias.ufpr,Invalid
899,fernanda.a.r,Private
900,agnes_cavalli,Private
901,anaju_branco,Private
902,le.delara,Private
903,vivih_fatima,Private
904,ujs.utfpr,False
905,briss1220,Private
906,fio_santandersz,False
907,evellyn.ravena,Private
908,nayane.luzz,Private
909,julia_nicolau_,True
910,natifvs,Private
911,estu_dante2024,True
912,_mateus00,Private
913,bemour_a,True
914,gu_heimoviski,Private
915,luisa__ceciliano,Private
916,nevesr_mat,True
917,isa_wpan,True
918,rafael.bertini,True
919,arthur_sato667,Private
920,liliane_lacerda_fleuri,Private
921,ppgsc_ufpr,True
922,rafascolaro,Private
923,caetanoandersoncarlos,Private
924,s.k.y_r.o.sa,True
925,luis_cmps,Private
926,washin_wu,False
927,renataoliveira_31,Private
928,isafrancoso,False
929,carol.shima,False
930,ju_chrispim,Private
931,thegabrielaleitte,False
932,coletivomurais.utfpr,False
933,leli.kloster,True
934,bereniceromanelli,True
935,tsukkidaisuki,True
936,natureza_inst,True
937,marcelo_sabala,True
938,guuxsta_,Private
939,jaajir566,True
940,vanem_silva,Private
941,marianacastro_86,False
942,rth.mvk,False
943,fran.silva.antunes,False
944,braian_almeida,Private
945,lety_gbraga,False
946,bischereiber,True
947,_kickgg,True
948,andreabinhara,True
949,andersonkenji_,Private
950,profaclaudinhasantos,Private
951,itsanavm_,True
952,fabiolatavora,True
953,nilton_nardelli,Private
954,mi_lima_u.u,Private
955,lana_padia,False
956,francielliwebber,Private
957,chenlimites,Private
958,jaumzitocatelan,Private
959,kopper__m,Private
960,leoalvesspr,Private
961,danieleogata,Private
962,mah.e.ribas,Private
963,joaoluizz.neto,Private
964,ppgte.utfpr,True
965,_.maria.moreira_,True
966,gabriellebbravo,Private
967,isabelaclass,Private
968,isah.kapacheski,Private
969,selma_w_s_,Private
970,eien__no,False
971,brun0_r0,False
972,rafazu182,Private
973,gab_pxr,False
974,monica.hkarina,Private
975,marie_kerscher,False
976,annalara_pgc,True
977,simonlulis,Private
978,s.postt,Private
979,lucas_theotonio01,Private
980,ilybella18,True
981,icaruamorim,True
982,jv_ogata_,Private
983,age_aadsn,Private
984,ap_elisaa,Invalid
985,wally.u.u,Private
986,lucascoelhoz,Private
987,andreee_luzz,Private
988,cexlpz,Private
989,lilianxisarndt,False
990,rafa.agro.m,False
991,arao_gon.007,True
992,danilorubio_,Private
993,fabicella_,Private
994,psipedromarques,True
995,itaedu_,Private
996,leo_matos.r,True
997,claudiaebombeiro,Private
998,keilaalvesprado,Private
999,marjoryym_,True
1000,matheusd.domingos,False
1001,grassanoarthur,False
1002,mdmarkcomunicacao,False
1003,mandi__az,False
1004,lucasg_carvalho,Private
1005,tramontini.luiz,False
1006,fredtecchio,False
1007,_muryloh,False
1008,fe_zamp,Private
1009,benj4min.0,False
1010,anneisie,Private
1011,nelselnjm,True
1012,luca_sfee,True
1013,studykkjhf,Private
